f1,f2,f3,f4,f5,f6,f7,f8,f9
0,0,0,0,0,0,0,0,0
-204.5,0,-204.5,-204.5,-204.5,204.5,204.5,204.5,0
0,194.25,0,0,0,0,194.25,-194.25,0
-377.333,-377.333,377.333,377.333,377.333,-377.333,-377.333,-377.333,-377.333
0,0,-236.25,0,0,236.25,236.25,0,236.25
-209.5,-209.5,209.5,0,209.5,209.5,209.5,209.5,209.5
-258.1,107.2,-258.1,-258.1,-258.1,258.1,365.3,150.9,0
-154,0,-255,-154,-154,255,255,154,101
-325.25,-120.75,-83.75,-204.5,-83.75,325.25,325.25,325.25,120.75
-84,194.25,-84,-84,-84,84,278.25,-110.25,0
-88.75,127.687,88.75,88.75,88.75,-88.75,127.687,-305.188,-88.75
0,68.25,-168,0,0,168,236.25,-68.25,168
-20.333,168.833,20.333,0,20.333,20.333,209.5,-168.833,20.333
-62.333,-62.333,-173.917,62.333,62.333,173.917,173.917,-62.333,173.917
-380.5,-380.5,380.5,371,371,-361.5,-361.5,-361.5,-361.5
-377.333,-377.333,377.333,308.667,377.333,-240,-240,-240,-240
-37.5,0,-255,-37.5,-37.5,255,255,37.5,217.5
-62.333,-62.333,-173.917,0,62.333,298.583,298.583,62.333,298.583
0,0,-246,-39,-39,207,207,0,246
-236.5,-209.5,182.5,-27,182.5,236.5,236.5,236.5,209.5
-229.75,-229.75,229.75,13.5,229.75,202.75,202.75,202.75,202.75
-209.5,-209.5,172.5,0,209.5,246.5,246.5,209.5,246.5
-260.625,-260.625,260.625,0,158.375,260.625,260.625,260.625,260.625
-154,29.125,-284.125,-154,-154,284.125,313.25,124.875,130.125
-352.05,13.25,-164.15,-258.1,-164.15,352.05,459.25,244.85,93.95
-156.542,49.167,-301.625,-301.625,-301.625,156.542,205.708,107.375,145.083
-154,-38.833,-255,-115.167,-76.333,332.667,332.667,154,217.5
-111.636,0,-297.364,-132.818,-132.818,276.182,276.182,111.636,185.727
-322.75,-123.25,-86.25,-199.5,-76.25,332.75,332.75,322.75,133.25
