YS(Mpa),UTS(Mpa),%EL,Charpy Energy at -80 C
661.16736,1093.5957,24.483692,59.427464
763.1061,980.3514,24.090422,63.22874
669.37634,1075.793,26.82028,41.82782
629.14197,760.1717,37.81415,53.72649
660.79315,1001.88336,27.058369,53.959175
749.1221,1025.7933,25.084385,62.402515
691.7105,1029.4365,25.691164,62.720486
646.55774,1045.4108,22.670185,65.90884
691.8321,1089.1936,25.642101,48.65807
774.35046,1070.3024,23.85025,46.832615
692.814,904.18304,30.241613,57.0351
673.56586,929.63745,27.844204,43.189327
705.49664,1094.4478,23.002083,44.298233
700.04083,1111.2975,20.442753,43.708843
707.50415,1100.317,22.873474,40.064312
702.3072,1099.2925,22.56365,44.659714
691.5276,1027.2241,25.69335,63.23535
628.1681,1040.4833,26.135843,63.211662
691.8321,1089.1936,25.642101,48.65807
687.5945,880.20483,31.601076,59.101566
745.3907,1059.8918,24.662031,58.479565
748.04266,1085.409,24.123762,48.825897
766.7603,878.6877,29.522667,62.4314
705.0855,1033.3275,25.314678,61.94051
727.43286,1066.8707,25.400377,56.251167
772.304,833.5928,30.333546,46.342705
745.86835,803.14734,34.214844,61.3023
745.291,866.1781,31.274279,60.594856
714.9737,1057.7407,26.155481,43.85654
766.97174,1019.9226,25.009806,50.746166
676.42633,1066.753,25.766623,59.039917
695.10754,1075.6276,26.21183,41.677853
663.7459,1093.1024,26.956758,43.811024
738.6868,1083.862,23.79835,58.546345
700.5132,1064.7291,26.733854,35.88901
776.42834,891.5211,26.026073,45.068005
742.19806,1080.3972,23.939558,58.479565
752.32336,820.46606,33.926258,52.84111
735.9532,1057.566,26.560928,35.287735
628.6084,1059.5886,27.53294,43.71864
633.54236,792.7209,37.965065,50.537037
748.36896,1084.731,23.952435,46.326733
776.24133,1065.0298,21.976524,46.363644
743.8804,1065.5536,24.521616,55.798927
701.2569,861.0587,31.486801,62.74509
573.93805,877.88086,33.914383,49.82474
751.2838,875.64984,25.69757,63.291874
763.2496,949.1617,24.26059,54.768684
741.99286,1084.7332,23.77714,58.470356
734.385,1068.7616,25.266916,53.073025
719.6154,1055.8152,21.476086,64.56101
676.9779,1049.765,20.414774,66.71255
680.44995,880.25116,30.674667,65.614525
755.3744,897.7856,29.971485,52.29354
657.77625,1063.1796,26.549002,55.85483
743.9739,865.0982,31.369026,54.485237
619.9051,768.39276,37.97377,55.25243
758.99567,1071.0469,24.692343,52.308666
684.6997,879.96497,32.096336,61.237087
741.63403,1047.3616,26.276793,36.372997
651.6835,1051.3214,27.440317,31.754066
776.08966,798.0701,33.486004,61.40048
682.8718,1062.0992,26.630861,46.85188
726.7107,892.4712,30.777657,58.3062
730.08484,1070.3689,23.79859,59.995968
644.7154,839.0404,27.343086,68.43803
762.9548,911.107,26.04892,52.58245
643.57733,1040.9065,23.449781,66.64959
756.6721,883.8597,30.247782,45.657326
650.6584,998.0307,27.517647,35.903088
747.9366,1083.7626,22.961245,57.829693
744.97656,1040.8656,25.144945,56.706455
753.8668,894.26154,30.189734,61.91531
716.8353,877.9288,24.607437,68.22348
786.2211,803.3662,33.21594,62.097027
769.50146,1044.0333,24.090414,55.98482
677.8093,1008.32336,24.47504,68.42997
758.50006,993.67914,25.009848,46.822987
630.6355,1075.1752,25.497595,58.907784
670.0293,989.05273,26.128607,63.724777
749.08954,1085.1494,23.91579,53.554253
695.6244,1047.5834,26.816807,33.76426
693.88495,1039.9403,25.731098,57.6963
653.9531,1078.6555,25.890326,56.82733
737.8009,801.83136,33.483242,62.769363
693.53613,954.33093,26.644997,53.019405
714.1545,858.6836,25.001772,68.48879
753.6606,896.9713,25.88742,62.332516
750.14307,1077.7443,24.502758,54.971
668.6568,1074.681,24.896471,60.501408
754.52527,999.00275,25.22198,52.655376
732.02344,1002.4668,23.875814,67.05204
768.7319,1069.9995,24.801292,48.032066
735.00867,745.6663,34.342327,66.1568
745.83435,1072.4545,23.125326,56.994846
747.7009,988.7226,21.792316,67.2475
658.2124,1032.62,26.466843,61.945755
666.6364,1077.9858,25.76527,58.09943
744.59827,1052.7335,26.057419,46.633133
704.9806,1065.1213,24.89764,57.819344
760.4939,1040.5536,25.33383,45.96439
615.2143,869.40137,33.49087,40.117313
656.4276,1094.1238,25.575554,38.353146
745.69147,1064.7163,24.511415,55.798927
794.31885,794.77747,33.93199,51.92334
762.9613,1067.6807,24.73048,53.02328
711.6342,1076.687,25.922039,52.37537
