f1,f2,f3,f4,f5,f6,f7,f8,f9
482.199,-224.657,-345.294,1241.201,1153.999,1708.781,1533.183,328.735,349.804
575.627,-56.308,309.324,5.884,655.522,611.295,1117.168,821.489,576.58
195.031,683.753,378.632,345.546,789.667,1050.926,160.068,126.532,221.999
485.537,417.697,492.83,133.214,682.374,822.824,633.909,641.073,532.205
433.639,433.077,576.934,135.844,907.919,770.839,448.089,602.003,306.82
456.276,645.064,742.565,159.487,903.476,805.557,342.461,404.574,231.564
593.371,783.307,644.156,353.357,843.43,1079.462,200.476,254.613,-1.736
561.115,481.681,760.889,158.498,929.023,889.492,397.117,445.915,324.63
515.557,556.405,696.949,273.554,889.027,416.925,379.539,421.56,4.055
93.661,715.084,254.343,469.631,784.049,1208.544,105.409,-30.568,179.577
298.068,468.308,252.913,368.648,666.852,1123.613,546.016,353.213,461.597
402.218,742.382,582.337,837.756,1216.965,1577.23,594.352,-151.347,-70.97
449.463,376.494,114.898,1094.124,1199.758,1754.436,864.4,-13.729,158.533
502.045,532.257,423.303,626.493,1035.898,1331.015,655.652,153.557,214.871
423.826,247.34,391.668,142.365,719.555,859.618,694.843,757.654,543.407
500.811,578.896,702.267,420.78,982.987,1151.292,651.49,311.312,217.182
458.729,350.51,421.694,159.677,638.597,875.402,673.502,662.782,590.52
543.928,513.575,464.274,268.672,660.516,1030.524,540.159,512.925,368.893
479.172,385.283,459.919,138.185,661.618,832.993,665.58,665.58,563.231
511.445,342.746,531.712,133.62,692.908,898.038,632.174,632.174,564.863
411.958,229.048,260.324,-36.929,459.419,566.417,859.571,859.571,674.502
516.587,544.894,752.727,661.823,1323.675,1375.751,734.367,192.597,-49.7
541.353,18.467,89.536,1145.296,1383.14,1778.379,1115.779,286.507,194.199
509.581,167.859,342.324,507.082,1156.763,1196.484,789.832,648.907,138.586
610.184,251.629,552.216,426.207,1130.961,1129.475,790.742,546.274,278.301
594.279,397.624,577.883,505.824,1054.953,624.901,688.631,452.218,-41.869
488.057,761.52,912.519,522.138,1203.508,1239.096,484.304,72.983,-54.697
541.209,398.47,464.521,1394.37,1583.295,2111.78,983.548,-227.272,-135.342
639.352,822.798,836.811,791.734,1268.809,1548.728,580.156,-64.234,-227.3
614.61,649.068,943.044,675.507,1330.965,1464.566,652.051,17.792,-56.734
547.202,731.542,955.434,783.181,1313.653,1009.097,548.773,-62.719,-427.54
221.499,-264.355,-288.179,992.743,752.423,1845.433,975.59,417.766,734.851
593.668,70.145,16.22,1410.047,1442.928,2029.971,1215.94,75.202,194.671
670.042,285.409,152.21,1317.996,1339.13,1985.99,989.505,7.122,30.136
560.942,-53.996,-30.85,1773.925,1533.31,1792.032,1124.822,-139.887,-246.61
571.808,-8.102,-73.267,1375.614,1358.819,1947.738,1294.226,127.115,224.991
514.831,178.895,317.657,559.362,1163.861,1282.946,738.284,615.176,56.569
748.731,545.076,658.573,540.195,1064.409,1280.693,641.401,281.763,127.461
701.547,633.662,627.205,644.817,1009.838,821.549,527.893,221.881,-238.225
536.81,301.066,587.125,136.72,727.44,954.546,604.483,604.483,562.87
685.259,338.584,872.086,556.925,1088.385,365.656,424.72,239.607,-331.669
260.272,561.56,127.284,355.921,928.365,1202.064,437.814,478.564,234.104
231.88,221.208,145.171,87.829,912.295,824.813,817.255,900.113,648.508
352.307,514.372,173.472,316.019,890.783,1162.745,533.916,584.201,285.571
220.263,308.207,240.448,97.844,997.495,818.193,705.74,809.741,533.361
217.276,243.827,173.131,103.728,997.29,828.782,731.888,867.956,542.148
111.783,-118.696,-234.696,312.13,1044.239,904.522,1030.5,1078.217,729.565
-70.2,-562.033,-284.05,8.167,1400.467,1310.117,1204.733,1310.533,1129.35
405.291,346.48,401.046,-29.374,674.084,491.498,656.907,746.956,432.279
266.411,473.096,422.356,474.277,1297.555,1264.666,864.795,443.341,255.159
354.207,598.998,237.791,346.73,948.724,1194.668,427.742,493.335,167.587
249.545,360.818,81.313,325.274,1000.387,1206.661,465.397,679.306,177.406
161.28,20.289,-112.38,288.769,1217.236,1525.669,758.524,825.324,562.34
-278.381,-1518.787,-593.256,-66.242,1900.586,2013.734,1603.987,1670.787,1725.194
-614.074,-2079.852,-1200.273,-102.396,2136.771,2230.321,2070.105,2136.905,2164.45
-389.655,-1756.17,-855.012,-214.606,1787.194,1850.533,1841.37,1908.17,1896.873
453.77,-29.024,379.944,-230.059,525.324,410.841,822.611,863.585,610.369
-190.469,420.092,-317.896,530.835,947.189,1379.58,546.69,269.947,462.145
13.542,205.654,-290.648,434.001,830.208,1292.168,933.823,611.337,709.931
109.652,421.233,-47.036,837.996,1310.716,1670.718,1009.292,207.852,274.236
141.989,198.785,-344.544,898.69,1245.333,1671.997,1169.493,371.089,468.9
214.844,471.764,345.912,507.706,1283.258,1311.137,846.292,404.297,260.816
204.64,542.078,69.474,377.028,932.174,1224.555,454.913,457.06,263.613
-286.984,173.882,-494.333,523.031,1074.992,1533.037,718.338,416.007,631.08
200.023,276.765,76.34,419.238,1030.824,1244.439,1009.795,632.645,555.863
145.145,154.675,-134.845,285.616,813.201,1106.376,999.443,803.508,772.529
203.792,250.951,-112.495,359.097,817.686,1217.164,910.684,713.295,631.308
-9.786,99.357,-342.254,411.402,883.733,1331.445,1011.501,694.793,785.571
-156.913,-582.433,-760.679,639.045,1604.721,2012.354,1607.608,926.502,1068.191
-34.251,87.89,-376.414,432.424,895.249,1368.582,1015.224,678.868,789.015
22.27,198.206,-214.242,820.405,1411.826,1793.104,1157.278,348.001,435.303
