f1,f2,f3,f4,f5,f6,f7,f8,f9
1290.697,1162.314,734.274,0,0,-102.663,51.331,204.02,597.529
1272.14,1243.268,780.835,0,0,-29.028,14.514,272.774,555.676
1261.857,1202.811,746.04,0,0,-118.752,59.376,189.463,526.797
993.24,893.52,595.68,0,290.37,193.58,-55.68,302.4,632.28
1163.889,910.533,607.022,0,288.05,192.033,34.8,228.933,677.133
1203.949,961.532,641.021,0,277.547,172.491,6.27,241.369,683.613
1209.75,1024.917,676.083,0,198.625,132.417,0,290.167,667.958
1071.927,592.557,387.128,0,527.725,351.817,0,134.74,740.304
1150.999,1200.248,758.043,0,0,0,-28.111,352.958,548.418
1231.754,1182.855,786.426,0,0,0,0,279.221,544.729
1211.377,1235.071,773.186,0,73.476,48.984,0,299.497,512.648
750.354,1080.656,660.606,0,183.754,122.503,-118.396,341.183,348.186
1093.359,1142.845,690.316,0,202.448,-3.005,68.985,159.22,375.282
1072.381,1013.5,570.452,0,339.857,226.571,0,86.429,387.321
563.63,388.235,258.823,-76.372,482.336,525.216,85.313,15.07,435.329
761.631,720.923,461.02,-77.102,384.897,422.759,-43.177,62.899,397.016
673.561,823.096,518.343,-49.78,314.924,342.697,-109.566,200.764,374.367
519.005,573.239,371.175,-79.281,397.045,476.111,-97.7,97.7,326.753
719.167,237.752,146.103,-26.07,721.903,550.788,-54.887,54.887,664.241
472.4,213.364,220.275,-129.188,402.057,508.494,307.438,-102.479,330.157
550.915,145.785,97.19,86.522,145.697,305.661,140.749,-46.916,453.725
406.124,106.392,70.928,-169.082,307.856,656.124,265.902,-88.634,335.196
614.889,162.554,108.369,-66.288,416.124,454.184,371.231,-123.744,506.52
595.522,192.244,128.162,-65.987,532.891,531.227,318.804,-106.268,467.36
856.047,147.796,98.53,-22.789,764.679,570.556,54.742,-18.247,757.516
675.751,475.321,317.828,180.612,-199.479,18.867,0,0,315.064
632.737,370.72,221.257,215.512,-217.282,1.769,0,83.781,414.536
719.561,110.846,57.536,99.888,400.699,356.778,0,0,637.483
929.558,672.091,448.06,-75.982,424.504,420.253,18.02,14.665,510.827
869.8,607.2,404.8,-115.32,341.64,454.88,40.2,0,465
979.5,682.536,455.024,-73.951,424.939,401.418,39.539,0,524.476
910.018,173.155,115.437,-17.191,786.669,555.804,7.242,0,794.582
841.173,114.915,71.436,-10.166,823.992,576.437,-16.555,16.555,795.086
