f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11
7.25E+01,1.75E+03,7.33E+01,2.08E+00,3.70E+02,3.90E+04,-1.19E+03,-1.49E+01,-1.91E+02,1.97E+00,2.55E-01
7.27E+01,1.75E+03,7.34E+01,2.07E+00,3.70E+02,3.90E+04,-1.20E+03,-1.49E+01,-1.91E+02,1.95E+00,2.66E-01
7.27E+01,1.75E+03,7.35E+01,2.08E+00,3.71E+02,3.91E+04,-1.21E+03,-1.49E+01,-1.91E+02,1.96E+00,2.65E-01
7.27E+01,1.75E+03,7.34E+01,2.07E+00,3.69E+02,3.90E+04,-1.19E+03,-1.49E+01,-1.91E+02,1.97E+00,2.85E-01
7.25E+01,1.75E+03,7.33E+01,2.08E+00,3.70E+02,3.90E+04,-1.19E+03,-1.49E+01,-1.91E+02,1.97E+00,2.55E-01
7.27E+01,1.75E+03,7.34E+01,2.07E+00,3.69E+02,3.90E+04,-1.20E+03,-1.49E+01,-1.91E+02,1.94E+00,2.71E-01
7.27E+01,1.75E+03,7.34E+01,2.07E+00,3.70E+02,3.90E+04,-1.20E+03,-1.49E+01,-1.91E+02,1.95E+00,2.66E-01
7.26E+01,1.75E+03,7.34E+01,2.07E+00,3.68E+02,3.90E+04,-1.18E+03,-1.49E+01,-1.91E+02,1.97E+00,2.90E-01
7.27E+01,1.75E+03,7.34E+01,2.07E+00,3.69E+02,3.90E+04,-1.19E+03,-1.49E+01,-1.91E+02,1.97E+00,2.85E-01
7.25E+01,1.75E+03,7.33E+01,2.08E+00,3.70E+02,3.90E+04,-1.19E+03,-1.49E+01,-1.91E+02,1.97E+00,2.55E-01
7.29E+01,1.77E+03,7.42E+01,2.09E+00,3.79E+02,3.95E+04,-1.23E+03,-1.50E+01,-1.91E+02,2.04E+00,3.05E-01
7.26E+01,1.75E+03,7.32E+01,2.07E+00,3.68E+02,3.90E+04,-1.19E+03,-1.49E+01,-1.91E+02,1.94E+00,2.63E-01
7.27E+01,1.75E+03,7.34E+01,2.07E+00,3.69E+02,3.90E+04,-1.19E+03,-1.49E+01,-1.91E+02,1.94E+00,2.71E-01
7.25E+01,1.75E+03,7.33E+01,2.08E+00,3.70E+02,3.90E+04,-1.19E+03,-1.49E+01,-1.91E+02,1.97E+00,2.55E-01
7.29E+01,1.77E+03,7.42E+01,2.09E+00,3.79E+02,3.95E+04,-1.23E+03,-1.50E+01,-1.91E+02,2.04E+00,3.05E-01
7.26E+01,1.74E+03,7.27E+01,2.08E+00,3.62E+02,3.88E+04,-1.15E+03,-1.50E+01,-1.90E+02,1.92E+00,2.82E-01
7.26E+01,1.75E+03,7.32E+01,2.07E+00,3.68E+02,3.90E+04,-1.19E+03,-1.49E+01,-1.91E+02,1.94E+00,2.63E-01
7.27E+01,1.75E+03,7.34E+01,2.07E+00,3.69E+02,3.90E+04,-1.19E+03,-1.49E+01,-1.91E+02,1.94E+00,2.71E-01
7.25E+01,1.74E+03,7.25E+01,2.08E+00,3.60E+02,3.87E+04,-1.14E+03,-1.49E+01,-1.90E+02,1.90E+00,2.73E-01
7.26E+01,1.74E+03,7.27E+01,2.08E+00,3.62E+02,3.88E+04,-1.15E+03,-1.50E+01,-1.90E+02,1.92E+00,2.82E-01
7.26E+01,1.75E+03,7.33E+01,2.07E+00,3.68E+02,3.89E+04,-1.18E+03,-1.49E+01,-1.91E+02,1.93E+00,2.65E-01
7.25E+01,1.74E+03,7.25E+01,2.08E+00,3.60E+02,3.87E+04,-1.14E+03,-1.49E+01,-1.90E+02,1.90E+00,2.73E-01
7.26E+01,1.74E+03,7.27E+01,2.08E+00,3.62E+02,3.88E+04,-1.15E+03,-1.50E+01,-1.90E+02,1.92E+00,2.82E-01
7.26E+01,1.74E+03,7.31E+01,2.07E+00,3.66E+02,3.88E+04,-1.17E+03,-1.48E+01,-1.91E+02,1.92E+00,2.60E-01
7.26E+01,1.73E+03,7.18E+01,2.07E+00,3.56E+02,3.86E+04,-1.11E+03,-1.49E+01,-1.90E+02,1.88E+00,2.77E-01
7.25E+01,1.74E+03,7.25E+01,2.08E+00,3.60E+02,3.87E+04,-1.14E+03,-1.49E+01,-1.90E+02,1.90E+00,2.73E-01
7.26E+01,1.73E+03,7.17E+01,2.07E+00,3.54E+02,3.85E+04,-1.10E+03,-1.48E+01,-1.90E+02,1.87E+00,2.69E-01
7.26E+01,1.73E+03,7.18E+01,2.07E+00,3.56E+02,3.86E+04,-1.11E+03,-1.49E+01,-1.90E+02,1.88E+00,2.77E-01
7.25E+01,1.74E+03,7.25E+01,2.08E+00,3.60E+02,3.87E+04,-1.14E+03,-1.49E+01,-1.90E+02,1.90E+00,2.73E-01
7.26E+01,1.73E+03,7.17E+01,2.07E+00,3.54E+02,3.85E+04,-1.10E+03,-1.48E+01,-1.90E+02,1.87E+00,2.69E-01
7.26E+01,1.73E+03,7.16E+01,2.08E+00,3.54E+02,3.85E+04,-1.10E+03,-1.48E+01,-1.90E+02,1.88E+00,2.73E-01
7.25E+01,1.73E+03,7.22E+01,2.08E+00,3.57E+02,3.86E+04,-1.12E+03,-1.49E+01,-1.90E+02,1.89E+00,2.71E-01
7.26E+01,1.74E+03,7.26E+01,2.07E+00,3.60E+02,3.87E+04,-1.15E+03,-1.49E+01,-1.90E+02,1.90E+00,2.71E-01
7.26E+01,1.73E+03,7.17E+01,2.07E+00,3.54E+02,3.85E+04,-1.10E+03,-1.48E+01,-1.90E+02,1.87E+00,2.69E-01
7.26E+01,1.73E+03,7.16E+01,2.08E+00,3.54E+02,3.85E+04,-1.10E+03,-1.48E+01,-1.90E+02,1.88E+00,2.73E-01
7.24E+01,1.73E+03,7.21E+01,2.08E+00,3.57E+02,3.86E+04,-1.12E+03,-1.49E+01,-1.90E+02,1.89E+00,2.65E-01
7.26E+01,1.74E+03,7.26E+01,2.07E+00,3.60E+02,3.87E+04,-1.15E+03,-1.49E+01,-1.90E+02,1.90E+00,2.71E-01
7.26E+01,1.72E+03,7.13E+01,2.08E+00,3.51E+02,3.83E+04,-1.08E+03,-1.48E+01,-1.90E+02,1.86E+00,2.73E-01
7.26E+01,1.73E+03,7.17E+01,2.07E+00,3.54E+02,3.85E+04,-1.10E+03,-1.48E+01,-1.90E+02,1.87E+00,2.69E-01
7.26E+01,1.74E+03,7.26E+01,2.07E+00,3.60E+02,3.87E+04,-1.15E+03,-1.49E+01,-1.90E+02,1.90E+00,2.71E-01
7.25E+01,1.72E+03,7.10E+01,2.07E+00,3.49E+02,3.82E+04,-1.07E+03,-1.48E+01,-1.90E+02,1.85E+00,2.63E-01
7.26E+01,1.72E+03,7.13E+01,2.08E+00,3.51E+02,3.83E+04,-1.08E+03,-1.48E+01,-1.90E+02,1.86E+00,2.73E-01
7.26E+01,1.73E+03,7.17E+01,2.07E+00,3.54E+02,3.84E+04,-1.10E+03,-1.48E+01,-1.90E+02,1.88E+00,2.77E-01
7.26E+01,1.74E+03,7.26E+01,2.07E+00,3.60E+02,3.87E+04,-1.15E+03,-1.49E+01,-1.90E+02,1.90E+00,2.71E-01
7.25E+01,1.72E+03,7.10E+01,2.07E+00,3.49E+02,3.82E+04,-1.07E+03,-1.48E+01,-1.90E+02,1.85E+00,2.63E-01
7.26E+01,1.72E+03,7.15E+01,2.07E+00,3.50E+02,3.83E+04,-1.07E+03,-1.48E+01,-1.90E+02,1.85E+00,2.84E-01
7.26E+01,1.72E+03,7.13E+01,2.08E+00,3.51E+02,3.83E+04,-1.08E+03,-1.48E+01,-1.90E+02,1.86E+00,2.73E-01
7.26E+01,1.73E+03,7.30E+01,2.06E+00,3.64E+02,3.87E+04,-1.16E+03,-1.48E+01,-1.91E+02,1.90E+00,2.43E-01
7.25E+01,1.72E+03,7.12E+01,2.07E+00,3.49E+02,3.82E+04,-1.06E+03,-1.48E+01,-1.90E+02,1.85E+00,2.71E-01
7.25E+01,1.72E+03,7.10E+01,2.07E+00,3.49E+02,3.82E+04,-1.07E+03,-1.48E+01,-1.90E+02,1.85E+00,2.63E-01
7.26E+01,1.72E+03,7.13E+01,2.07E+00,3.50E+02,3.83E+04,-1.08E+03,-1.48E+01,-1.90E+02,1.86E+00,2.69E-01
7.26E+01,1.73E+03,7.19E+01,2.06E+00,3.57E+02,3.84E+04,-1.11E+03,-1.47E+01,-1.91E+02,1.89E+00,2.42E-01
7.25E+01,1.72E+03,7.12E+01,2.07E+00,3.49E+02,3.82E+04,-1.06E+03,-1.48E+01,-1.90E+02,1.85E+00,2.71E-01
