f3,f4,f2,f5,f6,f1
-2.25,-0.9,4.5,-11.25,-0.9,4.5
22,4.45,-0.95,-10,0.05,-0.55
22.5,4.5,-0.9,-22.5,-0.45,-0.45
0.25,-0.4,4.4,-13.75,-0.95,4.45
-2.75,-0.95,4.45,1.25,-0.4,4.4
-4.5,-0.45,-0.45,112.5,4.5,-0.9
22.25,4.4,-0.4,-23.75,-0.55,0.05
-4.75,-0.55,0.05,111.25,4.4,-0.4
-2,0.05,-0.55,110,4.45,-0.95
