f1,f2,f3,f4,f5,f6,f7,f8,f9
834.605,763.027,746.313,747.98,411.823,-116.408,531.109,261.544,365.782
665.748,594.17,690.027,579.122,355.537,-228.98,531.109,374.116,478.354
860.301,788.723,720.617,893.588,386.127,-193.495,505.413,287.24,340.087
832.054,751.939,752.129,742.129,415.565,-110.082,536.755,249.776,357.823
742.585,891.055,454.249,651.959,755.899,315.687,1043.221,469.59,517.816
1082.66,1135.109,1118.395,1120.061,163.769,-488.49,283.054,-110.537,-6.299
421.69,305.738,401.595,342.46,288.976,-199.397,671.627,610.778,559.706
664.626,584.51,696.32,574.701,359.755,-221.701,536.755,361.395,469.442
579.694,713.898,416.898,489.327,677.306,175.102,1010.02,568.673,620.531
897.721,942.129,1037.986,927.082,123.565,-576.939,299.136,26.156,130.395
616.243,500.291,432.185,656.926,319.566,-163.912,645.931,523.902,421.439
794.608,880.122,512.113,825.039,631.762,114.976,871.009,435.763,448.623
1037.387,1054.351,986.245,1159.217,209.042,-459.123,328.328,21.612,74.458
543.531,-113.633,1040.653,165.082,992.612,755.49,1402.327,-615.796,-219.224
1079.361,1122.898,1123.088,1113.088,168.259,-481.041,289.449,-121.184,-13.136
544.083,947.474,240.132,450.524,970.705,613.741,1268.897,303.87,479.513
536.072,528.91,169.92,622.029,600.266,264.807,708.012,565.364,580.667
509.317,653.302,149.206,424.672,751.413,411.386,1251.069,714.82,615.011
448.143,745.114,75.314,344.714,745.657,587.086,1015.057,579.686,448.686
465.088,1387.752,519.537,521.204,781.34,372.367,900.626,-821.68,-258.942
344.927,474.617,109.896,260.58,672.791,271.416,1219.203,815.479,718.35
502.673,-144.276,1020.224,129.332,967.077,709.526,1387.005,-569.832,-178.367
895.986,931.551,1043.361,921.741,128.395,-568.741,305.395,14.354,122.401
285.369,668.858,179.102,192.188,849.024,395.208,1218.86,458.34,640.996
480.387,539.751,280.171,474.934,602.466,150.635,848.826,614.729,650.754
554.727,635.627,198.422,591.308,627.149,213.389,1084.749,687.946,548.573
618.127,932.578,322.793,717.637,782.309,306.904,1004.266,242.385,367.351
549.587,450.447,174.765,789.529,447.109,54.609,473.293,549.396,523.195
579.14,-23.672,1005.044,267.224,929.827,648.661,1312.366,-525.835,-173.307
523.441,1120.81,360.059,781.142,722.987,208.415,842.273,-303.296,8
1013.543,1014.181,952.504,1153.808,195.028,-460.858,295.743,34.639,83.676
1034.47,1042.823,992.057,1151.912,213.149,-451.923,334.339,9.847,66.938
462.707,486.68,467.633,1229.299,-344.612,-970.728,-225.327,-588.109,-486.204
309.648,-122.514,845.257,-92.486,1247.219,1116.676,1677.657,-876.324,-313.962
247.476,-557.714,803.81,-175.381,1029.619,940.524,1698.381,-534.381,-241.429
-24.136,-1030.633,953.32,-446.252,1079.946,1148.49,1664.327,-1532.796,-830.558
189.679,-606.107,880.143,-301.857,1065.571,1171.357,1500.821,-889.393,-543.893
461.789,1375.541,524.231,514.231,785.83,379.816,907.02,-832.327,-265.779
387.09,585.182,11.255,464.9,774.032,500.453,896.253,432.11,548.521
316.031,1280.781,228.438,316.031,1040.875,724.844,1233.812,-567.406,-29.219
315.8,785.92,-66.587,210.533,893.44,788.173,1170.56,464.253,423.32
367.534,369.734,-49.291,443.576,609.629,345.221,901.336,752.629,652.82
453.811,582.484,107.098,389.582,667.197,341.844,1237.033,742.254,585.025
363.375,606.6,-37.6,269,745.575,570.95,1188.8,736.225,548.85
322.087,612.183,-89.704,222.478,743.365,634.452,1135.765,717.965,506.748
54.143,-673.286,705.714,-443.286,1060.857,1296.286,1487.857,-838.714,-575.714
262.209,1400.701,260.542,383.073,984.22,631.363,1103.505,-925.278,-271.892
285.433,355.628,26.603,268.512,613.297,243.652,1072.45,831.344,734.215
227.343,-572.814,793.743,-192.998,1017.036,917.874,1690.831,-511.731,-221.295
287.722,401.631,66.499,224.416,585.998,199.746,1204.738,843.753,687.446
143.698,300.981,-21.644,93.346,617.134,230.47,1211.573,794.026,726.294
194.518,426.486,-82.629,100.143,666.775,435.864,1155.029,837.539,650.164
177.606,-221.546,779.236,-208.022,1164.693,968.129,1628.141,-727.777,-181.92
80.771,535.223,-129.261,-24.495,783.76,600.15,1123.554,605.27,564.337
383.891,293.957,-40.747,614.087,456.314,133.666,663.356,733.502,594.13
491.723,555.243,150.627,551.479,531.557,134.454,1068.818,719.086,514.537
424.73,168.22,730.175,237.619,1044.311,771.429,1386.923,-585.589,-165.566
659.499,454.738,430.898,1029.488,76.113,-393.292,-50.193,272.47,264.752
520.679,1109.262,366.059,773.951,726.94,215.415,848.13,-314.963,0.5
-1164.503,-982.707,-1039.85,1321.816,-1669.782,-2148.959,-1550.497,-2261.578,-1969.197
220.095,817.786,487.048,86.619,1157.667,937.571,1409,-1055.429,-358.738
-78.413,-749.381,785.556,-510.397,1306.921,1385.333,1856.762,-1503.19,-731.873
-146.067,-876.8,672.4,-713.2,1262.933,1619.533,1724.8,-1198.467,-777.533
-320.19,-1474.714,716.476,-786.714,1116.952,1333.524,1960.381,-1451.381,-852.762
89.286,-773.429,746.286,-391.095,1065.571,1149.048,1712.762,-699.762,-421.19
-568.524,-1788.286,706.381,-1164.619,1192.19,1788.286,1815.857,-1953.714,-1330.048
-57.286,-873.429,746.571,-615.429,1166.286,1482.429,1620.286,-1099.571,-741.571
-51.929,-953.786,785.857,-608.286,1112.714,1430.643,1577.429,-1119.214,-773.714
260.139,1388.412,266.806,376.938,987.48,637.242,1108.67,-935.297,-278.65
0,1133.3,-150.8,0,956.6,956.6,1107.4,-504.2,-176.7
301.85,640.84,-107.507,201.233,784.63,684.013,1163.12,667.923,492.14
199.484,141.608,-188.927,351.839,364.454,149.568,816.905,831.377,577.319
296.5,367.63,-138.741,353.074,618.574,442.037,896.074,761.574,611.778
296.5,551.911,-125.578,221.444,723.878,613.156,1119.844,748.411,532.8
-30.625,-811.8,592.8,-519,1060.775,1280.15,1661.6,-682.175,-475.55
-71.913,-806.217,540.696,-565.522,1058.565,1343.652,1608.565,-700.435,-517.652
-172.077,1328.321,-173.744,57.359,830.41,830.41,832.077,-1169.564,-669.987
144.184,163.884,-90.763,191.406,407.224,79.203,1001.485,897.533,670.756
127.643,350.952,-172.095,67.476,633.167,458.714,1060.762,851.214,643.048
-422.444,-1453.171,626.056,-853.265,964.634,1012.198,1827.077,-1025.272,-514.747
114.65,441.16,-157.427,14.033,697.27,534.253,1125.68,780.243,604.46
127.643,371.797,-170.606,52.587,645.078,478.07,1086.073,849.725,634.114
222.45,74.801,-174.892,525.956,220.78,-54.293,582.245,809.154,521.598
240.581,139.269,-124.526,493.722,218.766,-76.454,713.195,813.183,485.335
-251.333,228.5,251.333,-502.667,1157.667,1409,1409,-1409,-830.167
-602.222,-1613.667,602.222,-1204.444,1333.111,1935.333,1935.333,-1935.333,-1268.778
-165.296,-1011.407,659.58,-738.84,1195.63,1565.049,1731.21,-1092.704,-755.099
-516,-1621.571,618.571,-958.048,994.571,1113.238,1886.952,-1231.095,-656.952
-654.25,-1930.25,595,-1242.25,1192.875,1773.875,1990.75,-1800.625,-1232.375
-138.545,-1097.187,674.339,-686.875,1113.536,1416.848,1752.732,-967.562,-677
-134.95,-931.64,591.373,-672.367,1134.07,1470.253,1687.28,-904.557,-643.54
138.241,100.017,-178.309,262.82,327.791,75.713,876.769,877.251,600.285
180,203.667,-233.667,292.667,441.667,295.333,835.667,817.667,560
128.157,57.443,-168.75,309.18,253.502,-36.84,794.62,882.627,583.642
107.543,322.663,-188.473,57.054,602.644,433.403,1050.34,860.892,634.114
-710.722,-1939.167,571.222,-1328.444,1247.861,1912.083,1981.833,-1912.083,-1323.028
-210.196,-1130.625,648.226,-789.417,1170.857,1565.565,1750.821,-1103.542,-784
114.429,197.19,-246.619,181.762,447.333,301.81,899.619,852.476,572.143
