stock,harvest_value,npv,decvars
2153.508907560552,-47354.983976610725,-102198.54699659457,"['x_2_208.0_donothing', 'x_2_209.0_donothing', 'x_2_210.0_clearcut_2040', 'x_2_231.0_donothing', 'x_2_249.0_above_2050', 'x_2_250.0_above_2050', 'x_2_251.0_donothing', 'x_2_252.0_above_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_above_2050', 'x_2_286.0_above_2050']"
-142.06208248253205,-72048.90154747992,-88891.51994660898,"['x_2_208.0_donothing', 'x_2_209.0_clearcut_2040', 'x_2_210.0_clearcut_2040', 'x_2_231.0_above_2040', 'x_2_249.0_clearcut_2040', 'x_2_250.0_clearcut_2040', 'x_2_251.0_above_2040 + clearcut_2050', 'x_2_252.0_above_2040 + clearcut_2050', 'x_2_253.0_above_2040 + above_2050', 'x_2_256.0_donothing', 'x_2_279.0_above_2050', 'x_2_286.0_clearcut_2040']"
1578.8902862633613,-197133.94689755148,-85122.16063516347,"['x_2_208.0_donothing', 'x_2_209.0_above_2050', 'x_2_210.0_clearcut_2040', 'x_2_231.0_above_2050', 'x_2_249.0_even_2050', 'x_2_250.0_clearcut_2040', 'x_2_251.0_above_2040', 'x_2_252.0_above_2040', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_above_2040 + clearcut_2050']"
-1268.659940525262,-1579.39104833154,-88722.5267160742,"['x_2_208.0_donothing', 'x_2_209.0_above_2050', 'x_2_210.0_clearcut_2050', 'x_2_231.0_above_2050', 'x_2_249.0_clearcut_2050', 'x_2_250.0_clearcut_2050', 'x_2_251.0_above_2050', 'x_2_252.0_above_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_above_2050', 'x_2_286.0_clearcut_2050']"
-2092.080877784189,-1907.95849443101,-82239.73540431351,"['x_2_208.0_donothing', 'x_2_209.0_above_2040', 'x_2_210.0_below_2040', 'x_2_231.0_above_2050', 'x_2_249.0_above_2040', 'x_2_250.0_above_2040', 'x_2_251.0_donothing', 'x_2_252.0_above_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_clearcut_2040']"
3375.665449204482,-257589.91002249805,-84064.99538329394,"['x_2_208.0_donothing', 'x_2_209.0_donothing', 'x_2_210.0_above_2050', 'x_2_231.0_donothing', 'x_2_249.0_above_2040', 'x_2_250.0_above_2040 + clearcut_2050', 'x_2_251.0_donothing', 'x_2_252.0_donothing', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_donothing']"
1395.525233446651,-68320.6798324952,-97719.81755715962,"['x_2_208.0_above_2050', 'x_2_209.0_clearcut_2050', 'x_2_210.0_clearcut_2050', 'x_2_231.0_above_2050', 'x_2_249.0_clearcut_2050', 'x_2_250.0_clearcut_2050', 'x_2_251.0_clearcut_2050', 'x_2_252.0_clearcut_2050', 'x_2_253.0_below_2050', 'x_2_256.0_donothing', 'x_2_279.0_above_2050', 'x_2_286.0_clearcut_2050']"
1690.088069683244,-122964.6837146764,-94332.1865025975,"['x_2_208.0_donothing', 'x_2_209.0_above_2040', 'x_2_210.0_clearcut_2040', 'x_2_231.0_above_2050', 'x_2_249.0_above_2040 + clearcut_2050', 'x_2_250.0_clearcut_2040', 'x_2_251.0_above_2040', 'x_2_252.0_above_2040 + clearcut_2050', 'x_2_253.0_below_2040 + clearcut_2050', 'x_2_256.0_donothing', 'x_2_279.0_above_2050', 'x_2_286.0_clearcut_2040']"
2244.7751939422023,-58522.71831418823,-101694.18993048213,"['x_2_208.0_donothing', 'x_2_209.0_above_2040 + clearcut_2050', 'x_2_210.0_below_2040', 'x_2_231.0_donothing', 'x_2_249.0_clearcut_2050', 'x_2_250.0_clearcut_2040', 'x_2_251.0_above_2040', 'x_2_252.0_even_2040 + clearcut_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_clearcut_2040']"
322.8273223902188,-58016.39028339927,-92949.43141655884,"['x_2_208.0_donothing', 'x_2_209.0_above_2040 + clearcut_2050', 'x_2_210.0_clearcut_2040', 'x_2_231.0_above_2040', 'x_2_249.0_clearcut_2040', 'x_2_250.0_clearcut_2040', 'x_2_251.0_above_2040 + clearcut_2050', 'x_2_252.0_above_2040 + clearcut_2050', 'x_2_253.0_above_2040 + above_2050', 'x_2_256.0_donothing', 'x_2_279.0_above_2050', 'x_2_286.0_clearcut_2040']"
1262.021866934943,-10677.60550873393,-101523.55819833557,"['x_2_208.0_donothing', 'x_2_209.0_above_2040 + clearcut_2050', 'x_2_210.0_clearcut_2040', 'x_2_231.0_donothing', 'x_2_249.0_even_2050', 'x_2_250.0_clearcut_2040', 'x_2_251.0_above_2040', 'x_2_252.0_above_2040', 'x_2_253.0_above_2040', 'x_2_256.0_donothing', 'x_2_279.0_above_2050', 'x_2_286.0_clearcut_2040']"
-540.0330333999436,-78549.46258716608,-85586.8537086952,"['x_2_208.0_donothing', 'x_2_209.0_clearcut_2040', 'x_2_210.0_clearcut_2050', 'x_2_231.0_above_2050', 'x_2_249.0_clearcut_2040', 'x_2_250.0_clearcut_2040', 'x_2_251.0_above_2040', 'x_2_252.0_clearcut_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_below_2050', 'x_2_286.0_clearcut_2040']"
807.8932945133819,-163997.395216932,-84401.72039367727,"['x_2_208.0_donothing', 'x_2_209.0_above_2050', 'x_2_210.0_donothing', 'x_2_231.0_donothing', 'x_2_249.0_above_2050', 'x_2_250.0_clearcut_2050', 'x_2_251.0_above_2040', 'x_2_252.0_above_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_clearcut_2040']"
-126.54204927197044,-122849.11565316984,-83102.72267165333,"['x_2_208.0_donothing', 'x_2_209.0_above_2050', 'x_2_210.0_clearcut_2050', 'x_2_231.0_donothing', 'x_2_249.0_clearcut_2050', 'x_2_250.0_clearcut_2050', 'x_2_251.0_above_2050', 'x_2_252.0_donothing', 'x_2_253.0_even_2050', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_above_2050']"
2392.61066761554,-228778.9338178052,-85746.04872806277,"['x_2_208.0_donothing', 'x_2_209.0_above_2050', 'x_2_210.0_donothing', 'x_2_231.0_donothing', 'x_2_249.0_above_2050', 'x_2_250.0_clearcut_2050', 'x_2_251.0_above_2050', 'x_2_252.0_even_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_clearcut_2050']"
1710.1772991494415,-179093.4456972227,-88454.2735151711,"['x_2_208.0_donothing', 'x_2_209.0_clearcut_2050', 'x_2_210.0_clearcut_2050', 'x_2_231.0_above_2050', 'x_2_249.0_clearcut_2050', 'x_2_250.0_clearcut_2050', 'x_2_251.0_above_2050', 'x_2_252.0_clearcut_2050', 'x_2_253.0_below_2050', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_clearcut_2050']"
-17.567369444052275,-3165.75489703806,-95815.75224254798,"['x_2_208.0_donothing', 'x_2_209.0_above_2050', 'x_2_210.0_clearcut_2040', 'x_2_231.0_even_2050', 'x_2_249.0_clearcut_2050', 'x_2_250.0_clearcut_2040', 'x_2_251.0_above_2050', 'x_2_252.0_above_2040 + clearcut_2050', 'x_2_253.0_above_2050', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_above_2040 + clearcut_2050']"
459.8863674987784,-148699.465967093,-83718.2833569973,"['x_2_208.0_donothing', 'x_2_209.0_clearcut_2040', 'x_2_210.0_below_2040', 'x_2_231.0_above_2050', 'x_2_249.0_above_2040', 'x_2_250.0_below_2040 + clearcut_2050', 'x_2_251.0_above_2040', 'x_2_252.0_above_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_clearcut_2040']"
1602.5598951949823,-198450.7580330805,-85179.02130207236,"['x_2_208.0_donothing', 'x_2_209.0_clearcut_2050', 'x_2_210.0_donothing', 'x_2_231.0_donothing', 'x_2_249.0_above_2050', 'x_2_250.0_clearcut_2050', 'x_2_251.0_above_2050', 'x_2_252.0_above_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_clearcut_2050']"
2632.545495887257,-134605.14619023775,-97471.49883414787,"['x_2_208.0_donothing', 'x_2_209.0_clearcut_2050', 'x_2_210.0_donothing', 'x_2_231.0_donothing', 'x_2_249.0_clearcut_2050', 'x_2_250.0_clearcut_2050', 'x_2_251.0_above_2050', 'x_2_252.0_above_2050', 'x_2_253.0_above_2050', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_clearcut_2050']"
799.467796664555,-143839.39225858953,-86674.49066626193,"['x_2_208.0_donothing', 'x_2_209.0_above_2040 + clearcut_2050', 'x_2_210.0_above_2040', 'x_2_231.0_above_2050', 'x_2_249.0_above_2040 + clearcut_2050', 'x_2_250.0_clearcut_2040', 'x_2_251.0_below_2040 + clearcut_2050', 'x_2_252.0_above_2040', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_clearcut_2040']"
560.2215732843574,-104473.24354222303,-89605.92569171857,"['x_2_208.0_donothing', 'x_2_209.0_clearcut_2050', 'x_2_210.0_above_2040', 'x_2_231.0_above_2050', 'x_2_249.0_above_2050', 'x_2_250.0_clearcut_2040', 'x_2_251.0_above_2050', 'x_2_252.0_above_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_above_2050', 'x_2_286.0_clearcut_2040']"
-1963.19475978574,-36835.61876998264,-79267.34285260628,"['x_2_208.0_donothing', 'x_2_209.0_above_2040 + clearcut_2050', 'x_2_210.0_clearcut_2040', 'x_2_231.0_above_2050', 'x_2_249.0_above_2050', 'x_2_250.0_even_2050', 'x_2_251.0_above_2040', 'x_2_252.0_clearcut_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_above_2040 + clearcut_2050']"
-1214.6047954332134,-73120.39417486222,-80980.38896814716,"['x_2_208.0_donothing', 'x_2_209.0_donothing', 'x_2_210.0_clearcut_2050', 'x_2_231.0_donothing', 'x_2_249.0_donothing', 'x_2_250.0_clearcut_2050', 'x_2_251.0_donothing', 'x_2_252.0_above_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_clearcut_2050']"
2910.2070367921933,-234781.31177261623,-87691.71654219607,"['x_2_208.0_donothing', 'x_2_209.0_above_2050', 'x_2_210.0_clearcut_2050', 'x_2_231.0_donothing', 'x_2_249.0_above_2050', 'x_2_250.0_donothing', 'x_2_251.0_donothing', 'x_2_252.0_donothing', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_above_2050']"
-296.27332830507805,-115162.90009261618,-82919.36669058046,"['x_2_208.0_donothing', 'x_2_209.0_above_2050', 'x_2_210.0_clearcut_2040', 'x_2_231.0_above_2050', 'x_2_249.0_clearcut_2050', 'x_2_250.0_clearcut_2050', 'x_2_251.0_even_2040 + clearcut_2050', 'x_2_252.0_clearcut_2050', 'x_2_253.0_above_2040 + above_2050', 'x_2_256.0_donothing', 'x_2_279.0_above_2050', 'x_2_286.0_clearcut_2050']"
-598.4753975146241,-50831.26882737495,-88027.65188453831,"['x_2_208.0_donothing', 'x_2_209.0_above_2050', 'x_2_210.0_donothing', 'x_2_231.0_donothing', 'x_2_249.0_above_2050', 'x_2_250.0_clearcut_2050', 'x_2_251.0_above_2050', 'x_2_252.0_above_2050', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_above_2050']"
1973.416736809885,-167439.8412806586,-91262.72143363616,"['x_2_208.0_donothing', 'x_2_209.0_above_2050', 'x_2_210.0_below_2050', 'x_2_231.0_donothing', 'x_2_249.0_above_2050', 'x_2_250.0_clearcut_2040', 'x_2_251.0_above_2040', 'x_2_252.0_above_2040', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_clearcut_2040']"
2944.5956721067496,-192367.2402004057,-92761.45500330228,"['x_2_208.0_donothing', 'x_2_209.0_clearcut_2050', 'x_2_210.0_clearcut_2040', 'x_2_231.0_above_2050', 'x_2_249.0_clearcut_2050', 'x_2_250.0_clearcut_2040', 'x_2_251.0_above_2040', 'x_2_252.0_above_2040', 'x_2_253.0_donothing', 'x_2_256.0_donothing', 'x_2_279.0_donothing', 'x_2_286.0_above_2040 + clearcut_2050']"
