f1,f2,f3,f4,f5,f6,f7,f8,f9
839.05,1827,1352.5,1658.35,644.65,654.65,1069.4,1046.45,1339.55
1060.216,1476.11,1404.273,1560.637,992.057,1075.278,870.037,1141.669,1289.869
779.286,1581.429,1166.286,1596.143,625,716.857,802.143,1128.714,1584.714
1497.525,1195.112,904.891,1033.59,1444.627,1660.481,638.447,1165.528,1177.68
1356.897,1334.017,1254.774,1351.485,1297.68,1448.936,841.18,1169.412,1203.824
1323.615,1282.41,1183.077,1312.077,1306.179,1480.949,766.282,1135.744,1216.077
1367.175,1372.831,1285.934,1366.792,1279.694,1405.257,880.65,1164.383,1154.35
1059.813,1372.743,696.948,1228.196,1080.272,1354.326,470.516,1087.928,1566.892
1362,1541,1158,1270,1089,1132,951,1067,978
1234.733,1676.444,1239.778,1442.244,983.2,998.089,980.644,1071.6,1047.511
1154.333,1744.933,1281.467,1546.467,920.667,920.667,995.533,1071.6,1080.267
1344.146,1332.344,1285.732,1365.306,1285.395,1428.987,849.42,1172.497,1200.108
1338.558,1337.61,1308.286,1375.597,1275.545,1410.675,860.416,1173.442,1190.078
697.388,1713.671,1409.165,1686.682,578.541,626.318,1031.624,1055.894,1481.212
785.6,1575.6,1152.2,1590.8,758.8,917.8,790,1067.4,1588.6
776.286,1612.857,1413,1656,684.286,750.143,976.286,1076.714,1439.571
708.545,1646.727,1324.091,1656,586.909,657,938.182,1085.182,1541.182
1150.6,1740.667,1287.333,1552.867,922.8,925.467,994.467,1073.733,1088.267
878.333,1490,945.333,1512.333,903,1137.667,611.667,1077.333,1645.667
873.071,1494.857,957.071,1516.786,877.5,1099.214,621.786,1085.429,1642.429
1150.111,1713.778,1302,1559.222,940.889,955.778,988.111,1081.556,1112.222
1133.629,1707.143,1311.429,1567.114,931.6,947.886,982.314,1083.371,1125.771
1012.714,1455.238,1393.298,1577.19,940.417,1025.976,877.774,1116.119,1281.952
